  _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag | 
       -1.00000 |       1.00000 |      -0.03640 |       0.00000 |      -7.86561 |       9.69871 |      58.83473 |      47.50334 |
        1.00000 |      -0.99200 |      -0.03361 |       0.00000 |      -8.49886 |      10.61045 |      60.26991 |      48.93853 |
       -0.27630 |      -0.20611 |      -0.07559 |      -0.44194 |      -7.39203 |       9.00275 |      62.11603 |      50.78465 |
       -0.11059 |      -0.43053 |      -0.07372 |      -0.44194 |      -6.28299 |       7.83988 |      63.81071 |      52.47933 |
        0.01264 |      -0.64730 |      -0.04896 |      -0.21837 |      -6.03696 |       6.44622 |      65.15346 |      53.82208 |
        0.02987 |      -0.68545 |      -0.02372 |       0.00000 |      -5.70647 |       5.09317 |      66.34069 |      55.00932 |
       -0.05659 |      -0.76720 |      -0.03979 |      -0.21837 |      -4.68809 |       3.48041 |      67.51080 |      56.17943 |
        0.08659 |      -0.94884 |      -0.05631 |      -0.44194 |      -3.89845 |       1.46801 |      68.41325 |      57.08189 |
        0.16639 |      -0.99200 |      -0.05115 |      -0.44194 |      -3.67046 |      -1.21858 |      68.97410 |      57.64274 |
        0.13429 |       1.00000 |      -0.03360 |      -0.16906 |      -3.07751 |      -2.04104 |      69.31154 |      57.98019 |
        0.15026 |      -0.84560 |       0.00632 |      -0.00691 |      -2.27451 |      -1.81374 |      69.33806 |      58.00671 |
       -1.00000 |      -0.78178 |       0.01180 |       0.00000 |      -2.18657 |      -3.72479 |      69.15226 |      57.82092 |
        1.00000 |      -0.67735 |       0.01103 |      -0.05524 |      -2.16682 |      -6.41679 |      68.72731 |      57.39597 |
        1.00000 |      -0.63950 |       0.01256 |      -0.05524 |      -0.54655 |      -8.82490 |      68.01579 |      56.68446 |
       -1.00000 |      -0.57790 |       0.01905 |       0.00000 |       1.04136 |     -10.39628 |      67.22791 |      55.89658 |
        0.21163 |      -0.36065 |      -0.02313 |      -0.44194 |       0.86351 |     -12.39438 |      66.60441 |      55.27308 |
        0.09361 |      -0.15698 |      -0.05195 |      -0.76169 |       0.43604 |     -13.97430 |      65.91063 |      54.57931 |
       -0.05062 |      -0.07973 |       0.00685 |      -0.21837 |       0.13555 |     -14.70249 |      64.98990 |      53.65858 |
       -0.04831 |      -0.06013 |       0.03052 |      -0.00691 |      -0.14069 |     -14.89717 |      64.05679 |      52.72547 |
        1.00000 |      -0.08802 |       0.03197 |       0.00000 |       0.32417 |     -14.96780 |      62.87881 |      51.54750 |
        0.19963 |      -0.12410 |       0.03167 |      -0.00000 |       1.78925 |     -14.20098 |      61.43518 |      50.10387 |
       -1.00000 |       1.00000 |       0.03095 |       0.00000 |       2.70935 |     -12.93558 |      60.15331 |      48.82201 |
       -1.00000 |       1.00000 |       0.03091 |       0.00000 |       2.03317 |     -10.33739 |      59.25808 |      47.92678 |
        1.00000 |      -0.10827 |       0.02909 |       0.00000 |       1.09159 |      -8.71458 |      58.44308 |      47.11179 |
        1.00000 |       1.00000 |       0.02565 |       0.00000 |       2.01901 |      -7.65590 |      57.45741 |      46.12613 |
       -1.00000 |      -0.12636 |       0.02263 |       0.00000 |       3.86837 |      -5.40734 |      56.44371 |      45.11243 |
       -1.00000 |      -0.10109 |       0.01797 |       0.00000 |       3.90950 |      -5.05602 |      55.86785 |      44.53657 |
       -1.00000 |      -0.12699 |       0.01308 |       0.00000 |       2.43031 |      -4.51841 |      55.57260 |      44.24133 |
        0.02196 |      -0.08700 |       0.00900 |       0.00000 |       1.39801 |      -3.74570 |      55.43448 |      44.10321 |
